season,lg,player,player_id,age,team,pos,g,gs,mp,fg_per_36_min,fga_per_36_min,fg_percent,x3p_per_36_min,x3pa_per_36_min,x3p_percent,x2p_per_36_min,x2pa_per_36_min,x2p_percent,e_fg_percent,ft_per_36_min,fta_per_36_min,ft_percent,orb_per_36_min,drb_per_36_min,trb_per_36_min,ast_per_36_min,stl_per_36_min,blk_per_36_min,tov_per_36_min,pf_per_36_min,pts_per_36_min
2026,NBA,Precious Achiuwa,achiupr01,26,SAC,C,53,37,1123,5.9,11.3,0.517,0.6,2,0.328,5.2,9.4,0.556,0.545,1.3,2.5,0.532,3.6,6.3,9.9,2.1,1.6,1,1.3,2.9,13.7
2026,NBA,Steven Adams,adamsst01,32,HOU,C,32,11,730,3.5,6.9,0.504,0,0,NA,3.5,6.9,0.504,0.504,2.3,4,0.58,7.2,6.5,13.6,2.4,1.1,1,1.7,2.7,9.2
2026,NBA,Bam Adebayo,adebaba01,28,MIA,C,53,53,1663,7.6,16.9,0.449,1.9,5.6,0.344,5.7,11.3,0.501,0.506,4.2,5.5,0.765,2.4,9,11.3,3.2,1.1,0.8,2,1.9,21.3
2026,NBA,Ochai Agbaji,agbajoc01,25,2TM,SG,49,13,760,4.1,9.6,0.426,1.1,4.1,0.267,3,5.5,0.543,0.483,1.2,1.5,0.839,1.8,3.5,5.3,1.9,0.9,0.7,1,3.7,10.5
2026,NBA,Ochai Agbaji,agbajoc01,25,TOR,SG,42,13,650,4,9.4,0.424,0.7,3.6,0.185,3.3,5.8,0.571,0.459,1.4,1.6,0.862,1.8,3.4,5.3,1.7,0.9,0.6,1.1,4.2,10
2026,NBA,Ochai Agbaji,agbajoc01,25,BRK,SG,7,0,110,4.6,10.5,0.438,3.6,6.9,0.524,1,3.6,0.273,0.609,0.3,0.7,0.5,1.6,3.9,5.6,3.3,0.3,1,1,1.3,13.1
2026,NBA,Santi Aldama,aldamsa01,25,MEM,PF,43,11,1198,6.9,14.3,0.479,2.1,6,0.35,4.7,8.3,0.572,0.553,2.3,3.4,0.667,2,6.6,8.6,3.8,1.1,0.9,1.7,2.1,18.1
2026,NBA,Nickeil Alexander-Walker,alexani01,27,ATL,SG,58,51,1925,7.3,16.8,0.431,3.3,8.8,0.373,4,8,0.495,0.529,3.7,4.2,0.888,0.6,3.2,3.9,4.1,1.3,0.6,2.3,2.3,21.5
2026,NBA,Trey Alexander,alexatr01,22,NOP,SG,5,0,42,5.1,7.7,0.667,1.7,2.6,0.667,3.4,5.1,0.667,0.778,0,0,NA,0,3.4,3.4,4.3,0.9,0.9,0.9,3.4,12
2026,NBA,Grayson Allen,allengr01,30,PHO,SG,38,26,1148,6.8,16.6,0.408,4,11.2,0.36,2.8,5.4,0.509,0.529,3.3,3.8,0.861,0.8,2.9,3.7,4.7,1.6,0.4,2,2.6,20.9
2026,NBA,Jarrett Allen,allenja01,27,CLE,C,49,49,1352,7.9,12.3,0.639,0,0.3,0.1,7.8,12,0.65,0.64,4.3,5.8,0.731,3.5,7.8,11.3,2.6,1.3,1.2,1.8,2.4,20
2026,NBA,Jose Alvarado,alvarjo01,27,2TM,PG,49,0,1058,4.9,11.7,0.417,2.9,8.1,0.357,2,3.6,0.551,0.541,0.8,1,0.8,0.6,4,4.7,5.4,1.7,0.2,1.9,3.3,13.5
2026,NBA,Jose Alvarado,alvarjo01,27,NOP,PG,41,0,896,4.7,11.3,0.418,2.8,7.8,0.363,1.9,3.5,0.54,0.543,0.8,1,0.833,0.6,3.9,4.6,5.1,1.5,0.2,1.9,3.2,13
2026,NBA,Jose Alvarado,alvarjo01,27,NYK,PG,8,0,162,6,14.4,0.415,3.3,10,0.333,2.7,4.4,0.6,0.531,0.9,1.3,0.667,0.7,4.4,5.1,6.7,3.1,0.4,1.8,3.6,16.2
2026,NBA,Kyle Anderson,anderky01,32,2TM,SF,24,3,490,5.3,9.4,0.563,0.3,0.4,0.667,5,9,0.557,0.578,2.3,3.4,0.674,1.6,4.3,5.9,4.7,2.1,1,1.8,4.3,13.2
2026,NBA,Kyle Anderson,anderky01,32,UTA,SF,20,0,401,5.1,9.8,0.523,0.3,0.4,0.6,4.8,9.3,0.519,0.537,2.2,3.4,0.658,1.7,4.2,5.9,5.5,2.1,0.9,1.5,4.1,12.7
2026,NBA,Kyle Anderson,anderky01,32,MEM,SF,4,3,89,6.1,7.7,0.789,0.4,0.4,1,5.7,7.3,0.778,0.816,2.4,3.2,0.75,1.2,4.4,5.7,1.2,2.4,1.6,2.8,4.9,15
2026,NBA,Giannis Antetokounmpo,antetgi01,31,MIL,PF,30,30,876,12.9,20,0.645,0.6,1.6,0.395,12.3,18.5,0.666,0.66,8.1,12.2,0.658,3.5,8.9,12.4,6.9,1.1,0.9,4.1,3.2,34.5
2026,NBA,Thanasis Antetokounmpo,antetth01,33,MIL,SF,22,0,68,4.8,9,0.529,0,1.1,0,4.8,7.9,0.6,0.529,5.3,8.5,0.625,4.2,3.7,7.9,1.6,3.7,1.6,1.6,4.8,14.8
2026,NBA,Cole Anthony,anthoco01,25,MIL,PG,35,0,527,6.7,15.8,0.424,1.5,4.9,0.306,5.2,10.9,0.478,0.472,1.1,1.8,0.615,1.1,4.9,5.9,8.3,1.4,0.8,4.4,5,16
2026,NBA,OG Anunoby,anunoog01,28,NYK,PF,46,46,1521,6.2,13.2,0.473,2.2,6.2,0.359,4,7,0.574,0.557,2.9,3.7,0.794,1.5,4.3,5.7,2.5,1.9,0.8,2.1,2.7,17.6
2026,NBA,Deni Avdija,avdijde01,25,POR,SF,48,48,1608,8,17.4,0.463,2.3,6.7,0.341,5.8,10.7,0.54,0.529,7.9,9.9,0.8,1.2,6.4,7.6,7.1,0.9,0.6,4.1,2.8,26.3
2026,NBA,Deandre Ayton,aytonde01,27,LAL,C,51,51,1426,7.5,11.3,0.662,0,0,NA,7.5,11.3,0.662,0.662,1.5,2.3,0.663,3.2,7.7,10.9,1.1,0.8,1.2,1.7,3,16.5
2026,NBA,Marvin Bagley III,baglema01,26,2TM,PF,45,9,898,7.7,12.3,0.623,0.4,0.9,0.435,7.3,11.4,0.639,0.64,3.3,4.9,0.672,4.8,6.3,11.1,2.5,0.9,1.4,2,3.7,19.1
2026,NBA,Marvin Bagley III,baglema01,26,WAS,PF,38,8,731,7.6,12.1,0.626,0.4,0.9,0.421,7.2,11.2,0.643,0.642,3.4,4.8,0.711,4.8,5.9,10.6,2.8,1,1.3,2.2,3.8,19
2026,NBA,Marvin Bagley III,baglema01,26,DAL,PF,7,1,167,8.2,13.4,0.613,0.4,0.9,0.5,7.8,12.5,0.621,0.629,2.8,5.4,0.52,5,8.4,13.4,1.3,0.6,1.5,1.5,3,19.6
2026,NBA,Ace Bailey,baileac01,19,UTA,SF,53,42,1410,6.5,14.8,0.442,2,6.1,0.333,4.5,8.7,0.519,0.511,1,1.4,0.732,2.2,3.2,5.5,2.3,1.1,0.7,1.8,3.5,16.2
2026,NBA,Patrick Baldwin Jr.,baldwpa01,23,3TM,SF,5,0,41,4.4,9.7,0.455,1.8,4.4,0.4,2.6,5.3,0.5,0.545,3.5,5.3,0.667,2.6,2.6,5.3,0.9,0.9,0,1.8,6.1,14
2026,NBA,Patrick Baldwin Jr.,baldwpa01,23,LAC,SF,2,0,12,9,12,0.75,6,9,0.667,3,3,1,1,6,6,1,0,3,3,0,0,0,3,6,30
2026,NBA,Patrick Baldwin Jr.,baldwpa01,23,PHI,SF,1,0,2,0,0,NA,0,0,NA,0,0,NA,NA,0,0,NA,0,18,18,0,0,0,0,0,0
2026,NBA,Patrick Baldwin Jr.,baldwpa01,23,SAC,SF,2,0,27,2.7,9.3,0.286,0,2.7,0,2.7,6.7,0.4,0.286,2.7,5.3,0.5,4,1.3,5.3,1.3,1.3,0,1.3,6.7,8
